Key,en,es,ar,fr
There is no default currency in your system.,There is no default currency in your system.,No hay moneda predeterminada en su sistema.,لا توجد عملة افتراضية في نظامك.,Il n'y a pas de devise par défaut dans votre système.
Disabled,Disabled,Desactivado,عاجز,Désactivé
Instructions,Instructions,Instrucciones,تعليمات,Instructions
Stripe API,Stripe API,API de rayas,API Stripe,API Stripe
Public Key*,Public Key*,Llave pública*,المفتاح العمومي*,Clé publique*
Import,Import,Importar,يستورد,Importer
Download,Download,Descargar,تحميل,Télécharger
Code,Code,Código,شفرة,Code
Selectable,Selectable,Seleccionable,يمكن اختياره,Sélectionnable
Language Keywords of English,Language Keywords of English,Palabras clave del idioma del inglés,الكلمات الرئيسية للغة للغة الإنجليزية,Mots-clés linguistiques de l'anglais
Language Name*,Language Name*,Nombre del lenguaje*,اسم اللغة*,Nom de la langue*
Language Code*,Language Code*,Código de lenguaje*,رمز اللغة*,Code linguistique *
Merchant Overview,Merchant Overview,Descripción del comerciante,نظرة عامة على التاجر,Aperçu du commerçant
Information of Merchant,Information of Merchant,Información del comerciante,معلومات التاجر,Informations sur le marchand
Merchant Status,Merchant Status,Estado comercial,حالة التاجر,Statut marchand
Select Merchants Wallet,Select Merchants Wallet,Billetera seleccionada de comerciantes,حدد محفظة التجار,Sélectionner le portefeuille des marchands
Select Merchants,Select Merchants,Seleccionar comerciantes,حدد التجار,Sélectionner les marchands
Merchant Login Logs,Merchant Login Logs,Registros de inicio de sesión comerciales,سجلات تسجيل الدخول التاجر,Journaux de connexion des marchands
Setup Mobile Topup Category,Setup Mobile Topup Category,Configuración de la categoría de topup móvil,إعداد فئة Topup للهاتف المحمول,Configuration de la catégorie de topup mobile
Mobile Topup Categories,Mobile Topup Categories,Categorías de topup móvil,فئات Topup للهاتف المحمول,Catégories de topup mobile
Topup Amount,Topup Amount,Cantidad superior,مبلغ Topup,Montant
Mobile Topup Logs,Mobile Topup Logs,Registros de topup móviles,سجلات Topup Mobile,Journaux de topup mobile
Module Name,Module Name,Nombre del módulo,اسم وحدة,Nom du module
After Conversion,After Conversion,Después de la conversión,بعد التحويل,Après la conversion
Newsletters,Newsletters,Boletín,النشرات الإخبارية,Newsletters
Update Gateway,Update Gateway,Actualización de la puerta de enlace,تحديث بوابة,Mettre à jour la passerelle
Gateway Environment,Gateway Environment,Entorno de puerta de enlace,بيئة بوابة,Environnement de passerelle
Callback URL,Callback URL,URL de devolución de llamada,عاود الاتصال بالعنوان,URL de rappel
Gateway,Gateway,Puerta,بوابة,passerelle
Supported Currency,Supported Currency,Moneda compatible,العملة المدعومة,Devise soutenue
Enabled Currency,Enabled Currency,Moneda habilitada,عملة ممكّنة,Devise activée
Add Automatic Gateway (Add Money),Add Automatic Gateway (Add Money),Agregar puerta de enlace automática (agregar dinero),أضف بوابة أوتوماتيكية (إضافة أموال),Ajouter une passerelle automatique (ajouter de l'argent)
gatewayImage,gatewayImage,gatewayimage,بوابة,gattewayImage
Gateway Title*,Gateway Title*,Título de la puerta de enlace*,عنوان البوابة*,Titre de la passerelle *
Supported Currencies*,Supported Currencies*,Monedas compatibles*,العملات المدعومة*,Devises prises en charge *
Genarate Fields,Genarate Fields,Campos de genarato,حقول الجينارات,Champs de génarate
Max File Size (mb)*,Max File Size (mb)*,Tamaño de archivo máximo (MB)*,حجم الملف الأقصى (MB)*,Taille du fichier maximum (MB) *
File Extension*,File Extension*,Extensión de archivo*,امتداد الملف*,Extension de fichier*
Min Character*,Min Character*,Min personaje*,شخصية دقيقة*,Caractère min *
Max Character*,Max Character*,Personaje máximo*,شخصية الحد الأقصى*,Caractère max *
Currency Code,Currency Code,Código de moneda,رمز العملة,Code de devise
Currency Symbol,Currency Symbol,Símbolo de moneda,رمز العملة,Symbole de la monnaie
Add Automatic Gateway (Money Out),Add Automatic Gateway (Money Out),Agregue la puerta de enlace automática (dinero fuera),أضف بوابة أوتوماتيكية (أموال),Ajouter une passerelle automatique (argent)
Conversion Payable,Conversion Payable,Conversión por pagar,التحويل المستحق,Conversion à payer
Payment Information,Payment Information,Información del pago,معلومات الدفع,Informations de paiement
Sender Email,Sender Email,Correo electrónico del remitente,البريد الإلكتروني المرسل,E-mail de l'expéditeur
Card Holder Name,Card Holder Name,Nombre del titular de la tarjeta,إسم صاحب البطاقة,Nom du titulaire
Sender Card Number,Sender Card Number,Número de tarjeta de remitente,رقم بطاقة المرسل,Numéro de carte de l'expéditeur
Save & Change,Save & Change,Guardar cambios,حفظ وتغيير,Sauvegarder les modifications
Profile Image:,Profile Image:,Imagen de perfil:,صورة الملف الشخصي:,Image de profil:
Select State,Select State,Seleccione estado,اختر ولايه,Sélectionnez l'état
Total Profits,Total Profits,Ganancias totales,إجمالي الأرباح,Total des bénéfices
User,User,Usuario,مستخدم,Utilisateur
Profit Amount,Profit Amount,Monto de la ganancia,مبلغ الربح,Montant du bénéfice
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificación de push del navegador,تكوين إشعار دفع المتصفح,Configuration de la notification push du navigateur
Instance ID*,Instance ID*,ID de instancia*,معرف مثيل*,ID d'instance *
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/ notificación interna,تكوين الإذاعة/ الإخطار الداخلي,Configuration de la radiodiffusion / notification interne
APP ID*,APP ID*,ID de aplicación*,معرف التطبيق*,ID de l'application *
Cluster*,Cluster*,Grupo*,تَجَمَّع*,Grappe*
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإخطارات,Dernières notifications
Body,Body,Cuerpo,جسم,Corps
Setup Bank Deposit Type,Setup Bank Deposit Type,Tipo de depósito bancario de configuración,الإعداد نوع الودائع المصرفية,Configuration du type de dépôt bancaire
Add Bank,Add Bank,Agregar banco,أضف البنك,Ajouter la banque
Setup Cash Pickup,Setup Cash Pickup,Configuración de recogida en efectivo,الإعداد النقد التقاط,Configuration du ramassage en espèces
Setup Receiver Countries,Setup Receiver Countries,Configuración de países receptor,إعدادات المتلقي الإعداد,Configurer les pays récepteurs
Setup Country,Setup Country,País de configuración,بلد الإعداد,Pays d'installation
Remittance Type,Remittance Type,Tipo de remesas,نوع التحويلات,Type de transfert
Pickup Point,Pickup Point,Punto de recogida,نقطة التقاط,Point de ramassage
Send Amount,Send Amount,Enviar un monto,أرسل المبلغ,Envoyer le montant
Version,Version,Versión,إصدار,Version
App Environment,App Environment,Entorno de aplicaciones,بيئة التطبيق,Environnement d'application
App Debug,App Debug,Depurar la aplicación,تصحيح التطبيق,Débogage de l'application
App Mode,App Mode,Modo de aplicación,وضع التطبيق,Mode d'application
Database Connection,Database Connection,Conexión de base de datos,اتصال قاعدة البيانات,Connexion de base de données
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات,Hôte de base de données
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات,Port de base de données
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات,Nom de la base de données
Database Username,Database Username,Nombre de usuario de la base de datos,قاعدة بيانات قاعدة البيانات,Nom d'utilisateur de base de données
PHP Version,PHP Version,Versión php,إصدار PHP,Version PHP
Laravel Version,Laravel Version,Versión de Laravel,نسخة لارافيل,Version Laravel
Server Software,Server Software,Software de servidor,برنامج الخادم,Logiciel de serveur
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP الخادم,Adresse IP du serveur
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم,Protocole de serveur
Timezone,Timezone,Zona horaria,وحدة زمنية,Fuseau horaire
Email Send Method*,Email Send Method*,Método de envío de correo electrónico*,طريقة إرسال البريد الإلكتروني*,Méthode d'envoi par e-mail *
Send Mail,Send Mail,Enviar correo,ارسل بريد,Envoyer un mail
Host*,Host*,Anfitrión*,يستضيف*,Hôte*
Port*,Port*,Puerto*,ميناء*,Port*
Encryption*,Encryption*,Cifrado*,التشفير*,Chiffrement*
Firebase Api,Firebase Api,API Firebase,Firebase API,API Firebase
KYC Data Form,KYC Data Form,Formulario de datos de KYC,نموذج بيانات KYC,Formulaire de données KYC
Page,Page,Página,صفحة,Page
Edit Campaign,Edit Campaign,Editar campaña,تحرير الحملة,Modifier la campagne
Page Name,Page Name,Nombre de la página,اسم الصفحة,Nom de la page
Add Item,Add Item,Añadir artículo,اضافة عنصر,Ajouter un item
Edit Item,Edit Item,Elemento de edición,تعديل عنصر,Modifier l'article
Button Link,Button Link,Enlace de botón,رابط زر,Lien de bouton
Add Activities,Add Activities,Agregar actividades,أضف الأنشطة,Ajouter des activités
Edit Activities,Edit Activities,Editar actividades,تحرير الأنشطة,Modifier les activités
Image,Image,Imagen,صورة,Image
Edit brand,Edit brand,Editar marca,تحرير العلامة التجارية,Modifier la marque
Question,Question,Pregunta,سؤال,Question
Add Social Icon,Add Social Icon,Agregar icono social,أضف أيقونة اجتماعية,Ajouter l'icône sociale
Social Icon,Social Icon,Icono social,أيقونة اجتماعية,Icône sociale
Link,Link,Enlace,وصلة,Lien
Edit Icon,Edit Icon,Editar icono,أيقونة تحرير,Icône de modification
Designation,Designation,Designación,تعيين,Désignation
Rating,Rating,Clasificación,تقييم,Notation
Support Ticket,Support Ticket,Boleto de apoyo,بطاقة الدعم,Ticket d'assistance
User (Fullname),User (Fullname),Usuario (nombre completo),المستخدم (fullname),Utilisateur (FullName)
Total Money Out,Total Money Out,Dinero total fuera,إجمالي المال,Total de l'argent
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم,Aperçu de l'utilisateur
Information of User,Information of User,Información del usuario,معلومات المستخدم,Informations sur l'utilisateur
User Status,User Status,Estatus de usuario,حالة المستخدم,Statut de l'utilisateur
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات تسجيل الدخول المستخدم,Journaux de connexion de l'utilisateur
